rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
7368,8312222,K07017.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,12.823275455,7.7300000e-07,-7.7300000e-07,136.1765764,4.890000e-05,-4.890000e-05,0.9300,0.0370,-0.0270,5.32062,0.00229,-0.00229,1.2199e+05,3.710e+01,-3.710e+01,44.29,1.276e+01,-3.970e+00,743.0,,,72.00,62.44,-19.82,2541.70,1,q1_q17_dr25_tce,5973.00,179.00,-197.00,4.562,0.036,-0.204,0.8260,0.2380,-0.0740,296.117400,44.232841,15.626
3262,8320630,K04846.02,,CANDIDATE,CANDIDATE,0.8620,0,0,0,0,32.526674000,9.0350000e-04,-9.0350000e-04,137.3054000,2.650000e-02,-2.650000e-02,0.4720,0.0010,-0.4720,6.84200,0.65300,-0.65300,2.0490e+02,2.500e+01,-2.500e+01,1.26,3.400e-01,-1.100e-01,525.0,,,17.91,14.51,-4.92,9.70,1,q1_q17_dr25_tce,5668.00,169.00,-186.00,4.545,0.033,-0.187,0.8680,0.2330,-0.0780,298.282140,44.272060,15.230
4472,8320630,K04846.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,19.254536000,3.1530000e-04,-3.1530000e-04,148.0172000,1.400000e-02,-1.400000e-02,0.8060,0.1490,-0.5660,4.75400,0.33300,-0.33300,1.8600e+02,2.220e+01,-2.220e+01,1.32,3.500e-01,-1.200e-01,625.0,,,36.02,29.16,-9.91,9.20,2,q1_q17_dr25_tce,5668.00,169.00,-186.00,4.545,0.033,-0.187,0.8680,0.2330,-0.0780,298.282140,44.272060,15.230
471,8330548,K01132.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.914158508,1.5140000e-06,-1.5140000e-06,134.6449190,6.650000e-04,-6.650000e-04,0.9420,0.4870,-0.0350,3.29170,0.04610,-0.04610,7.8292e+03,8.350e+01,-8.350e+01,13.63,4.730e+00,-1.570e+00,1646.0,,,1730.47,1771.72,-553.75,124.60,1,q1_q17_dr25_tce,6289.00,174.00,-217.00,4.407,0.070,-0.224,1.1180,0.3880,-0.1290,301.016720,44.233841,14.446
4519,8330548,K01132.02,,FALSE POSITIVE,FALSE POSITIVE,,1,1,0,0,0.957070100,,,131.7767386,,,,,,2.75000,,,,,,,,,,,,,,,,1,q1_q16_tce,,,,,,,,,,301.016720,44.233841,14.446
4055,8345384,K04399.01,,CANDIDATE,CANDIDATE,0.9580,0,0,0,0,42.100335100,1.3890000e-04,-1.3890000e-04,143.0282700,2.780000e-03,-2.780000e-03,0.8800,0.0630,-0.6220,1.08340,0.09910,-0.09910,2.1400e+02,1.930e+01,-1.930e+01,1.42,1.600e-01,-7.000e-02,466.0,,,11.17,3.66,-1.92,13.90,1,q1_q17_dr25_tce,5595.00,100.00,-122.00,4.570,0.016,-0.093,0.8200,0.0920,-0.0400,282.128880,44.303162,11.965
537,8351704,K01146.01,Kepler-779 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.097121240,2.5960000e-05,-2.5960000e-05,136.3451400,2.790000e-03,-2.790000e-03,0.0500,0.3690,-0.0500,2.10590,0.09000,-0.09000,3.6950e+02,2.330e+01,-2.330e+01,0.74,9.000e-02,-1.100e-01,425.0,,,7.73,2.78,-2.57,18.30,1,q1_q17_dr25_tce,3569.00,71.00,-78.00,4.861,0.066,-0.044,0.3890,0.0470,-0.0570,285.628540,44.310890,15.649
4961,8409295,K03404.01,Kepler-1489 b,CONFIRMED,CANDIDATE,0.9930,0,0,0,0,82.292865000,1.2250000e-03,-1.2250000e-03,212.0314000,1.240000e-02,-1.240000e-02,0.1950,0.2670,-0.1950,7.04800,0.37400,-0.37400,3.7110e+02,3.230e+01,-3.230e+01,1.82,2.500e-01,-1.200e-01,400.0,,,6.07,2.22,-1.12,13.00,1,q1_q17_dr25_tce,5626.00,76.00,-84.00,4.467,0.051,-0.119,0.9570,0.1320,-0.0660,281.295810,44.465401,14.828
7482,8414216,K07036.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,0,1,11.931379920,9.6720000e-05,-9.6720000e-05,142.8236600,7.540000e-03,-7.540000e-03,0.4120,0.0450,-0.4120,3.63900,0.17900,-0.17900,1.2210e+02,9.700e+00,-9.700e+00,0.56,3.000e-02,-3.000e-02,415.0,,,7.00,1.07,-1.09,14.70,1,q1_q17_dr25_tce,3787.00,51.00,-51.00,4.742,0.032,-0.017,0.5050,0.0230,-0.0280,284.157990,44.459110,14.003
268,8414716,K00910.01,Kepler-721 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.392026903,6.6640000e-06,-6.6640000e-06,171.7270700,9.630000e-04,-9.630000e-04,0.3140,0.0720,-0.3140,2.98040,0.03520,-0.03520,1.1514e+03,1.720e+01,-1.720e+01,2.68,3.600e-01,-1.900e-01,850.0,,,123.33,54.53,-29.06,77.40,1,q1_q17_dr25_tce,5198.00,155.00,-155.00,4.589,0.024,-0.102,0.8010,0.1060,-0.0570,284.430510,44.480530,15.651
3874,8416523,K04441.01,Kepler-1604 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,0.341842017,2.2800000e-07,-2.2800000e-07,131.6603360,5.450000e-04,-5.450000e-04,0.9570,0.1150,-0.7210,1.15540,0.04170,-0.04170,2.8560e+02,5.300e+00,-5.300e+00,1.72,2.000e-01,-1.400e-01,2023.0,,,3991.16,1597.04,-949.26,70.10,1,q1_q17_dr25_tce,5016.00,151.00,-136.00,4.601,0.030,-0.070,0.7470,0.0860,-0.0580,285.410610,44.412209,14.915
8325,8423344,K07592.01,,CANDIDATE,CANDIDATE,,0,0,0,0,381.979770000,3.9820000e-02,-3.9820000e-02,163.1805000,5.110000e-02,-5.110000e-02,0.2178,0.2988,-0.2177,15.70000,4.60000,-4.60000,9.0000e+02,3.190e+02,-3.190e+02,1.55,1.500e-01,-1.400e-01,132.0,,,0.07,0.02,-0.02,10.40,1,q1_q17_dr24_tce,3761.00,50.00,-50.00,4.724,0.060,-0.060,0.5260,0.0500,-0.0500,288.968230,44.448341,15.494
9302,8439949,K08156.01,,CANDIDATE,CANDIDATE,0.2660,0,0,0,0,364.982420000,1.1030000e-02,-1.1030000e-02,188.6133000,1.940000e-02,-1.940000e-02,0.9260,0.0330,-0.6430,12.34600,0.84000,-0.84000,5.3300e+02,4.740e+01,-4.740e+01,3.12,1.030e+00,-3.500e-01,293.0,,,1.73,1.65,-0.53,13.10,1,q1_q17_dr25_tce,6429.00,153.00,-211.00,4.404,0.068,-0.216,1.1160,0.3700,-0.1230,295.163640,44.422211,14.324
7485,8442795,K07040.01,,CANDIDATE,CANDIDATE,,0,0,0,0,502.206420000,4.7420000e-02,-4.7420000e-02,162.9131000,7.550000e-02,-7.550000e-02,0.9802,0.0245,-0.7023,9.39000,1.60000,-1.60000,4.4790e+02,8.520e+01,-8.520e+01,2.18,7.600e-01,-1.100e-01,212.0,,,0.48,0.49,-0.10,7.10,1,q1_q17_dr24_tce,6018.00,182.00,-164.00,4.615,0.024,-0.024,0.7330,0.2550,-0.0380,296.057280,44.461079,14.948
8587,8474892,K05520.01,,CANDIDATE,CANDIDATE,,0,0,0,0,199.442413400,2.0460000e-04,-2.0460000e-04,240.8521000,1.040000e-03,-1.040000e-03,1.1877,0.1605,-0.1407,7.25330,0.01700,-0.01700,3.2172e+04,7.100e+01,-7.100e+01,56.11,2.115e+01,-1.017e+01,344.0,,,3.32,3.80,-1.37,486.40,1,q1_q16_tce,5869.00,183.00,-194.00,4.288,0.164,-0.230,1.1700,0.4410,-0.2120,281.763120,44.577190,14.372
5158,8487748,K03905.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,1,1.061934313,1.5110000e-06,-1.5110000e-06,131.7259600,1.190000e-03,-1.190000e-03,1.2180,0.9260,-0.0640,3.19400,0.06010,-0.06010,6.0700e+02,1.040e+01,-1.040e+01,15.14,1.180e+00,-1.580e+00,1104.0,,,352.77,102.98,-105.26,70.00,1,q1_q17_dr25_tce,4304.00,116.00,-142.00,4.675,0.065,-0.025,0.5660,0.0440,-0.0590,288.909120,44.591831,15.454
3886,8507475,K04300.01,Kepler-1585 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.582738370,2.3150000e-05,-2.3150000e-05,134.9510800,5.740000e-03,-5.740000e-03,0.1430,0.3120,-0.1430,1.52300,0.15400,-0.15400,3.6050e+02,3.800e+01,-3.800e+01,1.64,3.700e-01,-1.600e-01,1064.0,,,302.74,215.05,-86.99,11.60,1,q1_q17_dr25_tce,5448.00,179.00,-179.00,4.517,0.050,-0.150,0.8720,0.1970,-0.0850,296.159000,44.563110,15.965
